City_Data,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,puerto ayora,40,EC,1615763509,74,-0.7393,-90.3518,82.4,9.22
1,dikson,100,RU,1615763801,99,73.5069,80.5464,-25.73,11.36
2,georgetown,20,MY,1615763625,83,5.4112,100.3354,78.8,5.75
3,severo-kurilsk,0,RU,1615763802,77,50.6789,156.125,33.57,4.36
4,ongwediva,94,NA,1615763803,69,-17.7833,15.7667,77.0,8.05
5,leningradskiy,100,RU,1615763803,94,69.3833,178.4167,2.35,14.2
6,busselton,27,AU,1615763517,73,-33.65,115.3333,59.0,3.0
7,faya,0,SA,1615763581,36,18.3851,42.4509,62.6,2.68
8,port alfred,95,ZA,1615763310,96,-33.5906,26.891,69.01,3.0
9,rikitea,18,PF,1615763524,76,-23.1203,-134.9692,80.87,13.15
10,maragogi,100,BR,1615763716,72,-9.0122,-35.2225,78.57,7.43
11,atuona,41,PF,1615763517,68,-9.8,-139.0333,80.19,11.52
12,longyearbyen,20,SJ,1615763332,65,78.2186,15.6401,-0.4,12.66
13,vera cruz,18,BR,1615763805,62,-12.6333,-41.0333,71.98,3.0
14,kapaa,75,US,1615763508,88,22.0752,-159.319,73.4,23.02
15,tailai,100,CN,1615763806,39,46.3833,123.4,37.99,26.49
16,nikolskoye,90,RU,1615763305,87,59.7035,30.7861,37.4,4.47
17,cape town,20,ZA,1615763308,77,-33.9258,18.4232,68.0,11.5
18,algeciras,75,ES,1615763806,88,36.1333,-5.4505,60.8,12.66
19,vila franca do campo,75,PT,1615763536,100,37.7167,-25.4333,60.8,10.36
20,cabo san lucas,20,MX,1615763462,40,22.8909,-109.9124,75.0,9.22
21,tasiilaq,90,GL,1615763506,59,65.6145,-37.6368,26.6,25.32
22,alice springs,90,AU,1615763541,94,-23.7,133.8833,59.0,8.05
23,bluff,100,NZ,1615763506,83,-46.6,168.3333,58.66,11.52
24,belmonte,0,BR,1615763808,69,-15.8631,-38.8828,78.8,10.36
25,thompson,75,CA,1615763627,36,55.7435,-97.8558,24.8,9.22
26,ushuaia,75,AR,1615763314,62,-54.8,-68.3,50.0,8.05
27,jamestown,1,US,1615763531,50,42.097,-79.2353,32.0,15.52
28,hobart,40,AU,1615763317,55,-42.8794,147.3294,66.99,8.05
29,bandarbeyla,89,SO,1615763520,79,9.4942,50.8122,77.27,11.56
30,mercedes,14,AR,1615763809,60,-34.6515,-59.4307,77.0,1.99
31,vaini,75,TO,1615763321,74,-21.2,-175.2,84.2,9.22
32,hervey bay,43,AU,1615763262,80,-25.2986,152.8535,82.99,1.01
33,beringovskiy,98,RU,1615763655,86,63.05,179.3167,11.89,9.19
34,tomatlan,0,MX,1615763602,34,19.9333,-105.25,86.56,7.9
35,sorland,87,NO,1615763810,67,67.667,12.6934,38.71,11.16
36,tuatapere,100,NZ,1615763525,94,-46.1333,167.6833,59.2,10.4
37,boysun,100,UZ,1615763811,64,38.2061,67.1986,34.65,1.03
38,necochea,0,AR,1615763376,84,-38.5473,-58.7368,63.0,5.3
39,inirida,21,CO,1615763812,81,3.8653,-67.9239,79.2,3.6
40,tuktoyaktuk,20,CA,1615763352,76,69.4541,-133.0374,-16.6,12.66
41,arraial do cabo,14,BR,1615763514,83,-22.9661,-42.0278,77.81,15.82
42,coos bay,90,US,1615763813,87,43.3665,-124.2179,43.0,5.75
43,mount isa,40,AU,1615763411,73,-20.7333,139.5,73.4,12.66
44,hasaki,20,JP,1615763279,61,35.7333,140.8333,46.99,6.91
45,guerrero negro,0,MX,1615763563,50,27.9769,-114.0611,64.35,18.72
46,wewak,90,PG,1615763814,81,-3.5534,143.6268,80.65,5.39
47,margate,96,GB,1615763622,76,51.3813,1.3862,46.99,7.0
48,tripoli,0,LY,1615763814,64,32.8752,13.1875,58.41,5.55
49,lincoln,90,US,1615763703,81,40.8,-96.667,42.8,21.85
50,mataura,100,NZ,1615763523,77,-46.1927,168.8643,57.07,6.04
51,nouadhibou,0,MR,1615763636,72,20.931,-17.0347,66.2,12.66
52,xuddur,45,SO,1615763522,88,4.1213,43.8894,71.65,14.63
53,moguer,56,ES,1615763816,49,37.2756,-6.8385,57.0,1.99
54,champerico,90,GT,1615763817,78,14.3,-91.9167,82.4,9.22
55,yerbogachen,89,RU,1615763634,95,61.2767,108.0108,-5.49,9.46
56,bambous virieux,75,MU,1615763514,94,-20.3428,57.7575,77.0,10.45
57,tiksi,100,RU,1615763611,86,71.6872,128.8694,3.54,4.83
58,albany,65,US,1615763759,25,42.6001,-73.9662,30.0,5.99
59,buala,75,SB,1615763818,62,-8.145,159.5921,84.51,4.5
60,kaitangata,100,NZ,1615763355,64,-46.2817,169.8464,64.0,5.03
61,la ronge,31,CA,1615763534,40,55.1001,-105.2842,50.0,13.8
62,guaratinga,0,BR,1615763818,69,-16.5667,-39.5667,78.8,10.36
63,coquimbo,0,CL,1615763547,72,-29.9533,-71.3436,62.6,9.22
64,punta arenas,0,CL,1615763500,76,-53.15,-70.9167,48.2,10.36
65,vila velha,75,BR,1615763510,78,-20.3297,-40.2925,78.8,8.05
66,cherskiy,100,RU,1615763572,92,68.75,161.3,-12.5,8.41
67,barrow,1,US,1615763535,77,71.2906,-156.7887,-4.0,17.27
68,nome,90,US,1615763589,86,64.5011,-165.4064,21.2,20.71
69,huai yot,20,TH,1615763820,94,7.7893,99.6348,75.2,3.44
70,hermanus,97,ZA,1615763513,94,-34.4187,19.2345,64.0,8.75
71,yanam,4,IN,1615763821,94,16.7333,82.2167,68.61,1.95
72,markkleeberg,0,DE,1615763822,87,51.2833,12.4,39.99,16.11
73,rio gallegos,75,AR,1615763488,67,-51.6226,-69.2181,59.0,6.91
74,klaksvik,75,FO,1615763491,93,62.2266,-6.589,39.2,5.75
75,ponta do sol,100,PT,1615763571,66,32.6667,-17.1,57.0,1.99
76,nanortalik,100,GL,1615763255,82,60.1432,-45.2371,30.51,9.91
77,pangnirtung,23,CA,1615763386,92,66.1451,-65.7125,-16.83,1.39
78,panama city,20,PA,1615763710,51,8.9936,-79.5197,87.8,12.66
79,mizdah,26,LY,1615763824,60,31.4451,12.9801,52.88,2.62
80,talnakh,96,RU,1615763715,99,69.4865,88.3972,-26.5,2.35
81,sao felix do xingu,91,BR,1615763733,96,-6.6447,-51.995,73.74,0.69
82,honiara,96,SB,1615763825,73,-9.4333,159.95,84.2,2.24
83,new norfolk,92,AU,1615763340,54,-42.7826,147.0587,66.99,5.01
84,korla,98,CN,1615763703,36,41.7597,86.1469,51.42,11.12
85,east london,80,ZA,1615763298,84,-33.0153,27.9116,73.36,8.5
86,sicamous,99,CA,1615763826,50,50.8331,-118.9856,51.8,1.14
87,sterling,75,US,1615763820,19,39.0062,-77.4286,57.2,19.57
88,bengkulu,100,ID,1615763533,85,-3.8004,102.2655,76.98,4.45
89,zaozerne,0,UA,1615763827,44,45.1582,33.2787,45.0,1.99
90,nicoya,0,CR,1615763544,40,10.1483,-85.452,87.8,18.41
91,bethel,20,US,1615763503,40,41.3712,-73.414,33.8,12.66
92,port said,40,EG,1615763827,72,31.2565,32.2841,59.0,10.36
93,tupik,100,RU,1615763828,69,54.4253,119.9327,12.27,18.25
94,cidreira,22,BR,1615763512,85,-30.1811,-50.2056,73.69,9.33
95,saint-philippe,0,RE,1615763331,78,-21.3585,55.7679,78.8,16.11
96,sao filipe,0,CV,1615763348,71,14.8961,-24.4956,71.13,4.54
97,caravelas,0,BR,1615763441,83,-17.7125,-39.2481,75.56,5.68
98,hithadhoo,97,MV,1615763538,64,-0.6,73.0833,84.09,7.23
99,machiques,83,VE,1615763829,62,10.0644,-72.545,82.72,7.27
100,brae,90,GB,1615763559,76,60.3964,-1.353,44.6,20.71
101,iralaya,20,HN,1615763612,78,15.0,-83.2333,82.4,9.22
102,linhares,93,BR,1615763830,89,-19.3911,-40.0722,72.73,3.33
103,vardo,75,NO,1615763615,93,70.3705,31.1107,24.8,8.05
104,henties bay,0,NA,1615763831,94,-22.116,14.2845,62.01,1.99
105,paamiut,91,GL,1615763652,78,61.994,-49.6678,28.2,7.52
106,auki,98,SB,1615763832,67,-8.7676,160.7034,84.67,2.08
107,narsaq,75,GL,1615763573,44,60.9167,-46.05,37.4,28.77
108,road town,40,VG,1615763832,78,18.4167,-64.6167,77.0,8.05
109,teknaf,0,BD,1615763575,52,20.8624,92.3058,70.0,6.29
110,maldonado,20,UY,1615763833,77,-34.6667,-54.9167,68.0,4.61
111,khatanga,100,RU,1615763553,95,71.9667,102.5,-19.95,10.76
112,ostrovnoy,97,RU,1615763548,93,68.0531,39.5131,22.01,5.03
113,siverek,75,TR,1615763834,46,37.755,39.3167,50.0,4.61
114,bredasdorp,99,ZA,1615763530,94,-34.5322,20.0403,66.2,3.44
115,norman wells,90,CA,1615763263,77,65.282,-126.8329,-4.0,12.66
116,pisco,0,PE,1615763343,61,-13.7,-76.2167,82.0,17.27
117,qaanaaq,100,GL,1615763529,63,77.484,-69.3632,-5.1,5.01
118,vangaindrano,21,MG,1615763835,87,-23.35,47.6,73.47,4.36
119,olinda,40,BR,1615763542,69,-8.0089,-34.8553,78.8,12.66
120,chokurdakh,0,RU,1615763358,91,70.6333,147.9167,-18.9,5.17
121,zabol,74,AF,1615763836,36,32.25,67.25,44.22,1.66
122,loviisa,100,FI,1615763836,96,60.4566,26.2251,30.99,4.5
123,port elizabeth,90,ZA,1615763521,94,-33.918,25.5701,69.8,9.22
124,marienburg,57,PL,1615763837,100,54.0359,19.0266,35.01,9.84
125,yellowknife,90,CA,1615763397,73,62.456,-114.3525,12.99,5.75
126,castro,4,BR,1615763565,83,-24.7911,-50.0119,65.68,1.52
127,zlobin,90,HR,1615763838,46,45.2924,14.6541,46.99,9.22
128,lagoa,24,PT,1615763400,91,39.05,-27.9833,59.74,14.03
129,saldanha,50,ZA,1615763606,90,-33.0117,17.9442,64.35,17.52
130,zhangye,0,CN,1615763839,40,38.9342,100.4517,41.7,3.96
131,mount gambier,90,AU,1615763641,94,-37.8333,140.7667,60.8,6.91
132,san marcos,40,US,1615763694,58,33.1434,-117.1661,62.01,10.36
133,kavaratti,9,IN,1615763839,68,10.5669,72.642,82.47,4.34
134,carnarvon,26,AU,1615763529,88,-24.8667,113.6333,77.0,6.91
135,karpathos,100,GR,1615763840,82,35.507,27.2132,59.0,5.75
136,cap malheureux,99,MU,1615763629,92,-19.9842,57.6142,75.99,1.01
